group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c_100_m_256,0,65944,155,66099
c_100_m_256,1,78925,510642,589567
c_100_m_256,2,63092,589442,652534
c_100_m_256,3,66152,875822,941974
c_100_m_256,4,65908,1088,66996
c_100_m_256,5,69734,407028,476762
c_100_m_256,6,61839,527689,589528
c_100_m_256,7,65558,811802,877360
c_100_m_128,8,12474,109,12583
c_100_m_128,9,24420,102246,126666
c_100_m_128,10,16516,143071,159587
c_100_m_128,11,12531,279215,291746
c_100_m_128,12,15456,15007,30463
c_100_m_128,13,13999,85530,99529
c_100_m_128,14,20138,150411,170549
c_100_m_128,15,30964,219190,250154
c_100_m_64,16,3116,62637,65753
c_100_m_64,17,3134,365882,369016
c_100_m_64,18,11205,649285,660490
c_100_m_64,19,3197,938752,941949
c_100_m_64,20,3141,63766,66907
c_100_m_64,21,3211,281268,284479
c_100_m_64,22,11120,587322,598442
c_100_m_64,23,3170,875158,878328
c_100_m_32,24,6394,10398,16792
c_100_m_32,25,831,72798,73629
c_100_m_32,26,832,157460,158292
c_100_m_32,27,834,217129,217963
c_100_m_32,28,1528,28565,30093
c_100_m_32,29,1058,97651,98709
c_100_m_32,30,1065,168552,169617
c_100_m_32,31,2260,248160,250420
c_75_m_256,32,71504,213815,285319
c_75_m_256,33,70105,366754,436859
c_75_m_256,34,66053,658230,724283
c_75_m_256,35,66141,939681,1005822
c_75_m_256,36,65683,172625,238308
c_75_m_256,37,63107,282249,345356
c_75_m_256,38,65764,596221,661985
c_75_m_256,39,65568,876101,941669
c_75_m_128,40,12589,14563,27152
c_75_m_128,41,12485,71381,83866
c_75_m_128,42,17906,155614,173520
c_75_m_128,43,12504,215293,227797
c_75_m_128,44,13376,28158,41534
c_75_m_128,45,14861,129842,144703
c_75_m_128,46,14547,199518,214065
c_75_m_128,47,32917,325583,358500
c_75_m_64,48,3131,68988,72119
c_75_m_64,49,3216,434284,437500
c_75_m_64,50,3165,721705,724870
c_75_m_64,51,3186,1003242,1006428
c_75_m_64,52,3144,68471,71615
c_75_m_64,53,6981,342770,349751
c_75_m_64,54,3164,659395,662559
c_75_m_64,55,3151,939057,942208
c_75_m_32,56,846,24512,25358
c_75_m_32,57,826,81275,82101
c_75_m_32,58,850,206369,207219
c_75_m_32,59,824,225611,226435
c_75_m_32,60,1077,40043,41120
c_75_m_32,61,1094,99831,100925
c_75_m_32,62,1059,171409,172468
c_75_m_32,63,1242,276788,278030
c_50_m_256,64,63750,214022,277772
c_50_m_256,65,66273,435333,501606
c_50_m_256,66,66086,722714,788800
c_50_m_256,67,68555,1004253,1072808
c_50_m_256,68,57876,145455,203331
c_50_m_256,69,61435,456910,518345
c_50_m_256,70,65787,660411,726198
c_50_m_256,71,69787,940088,1009875
c_50_m_128,72,22392,23267,45659
c_50_m_128,73,16467,79973,96440
c_50_m_128,74,12490,169537,182027
c_50_m_128,75,20917,224346,245263
c_50_m_128,76,14089,39273,53362
c_50_m_128,77,15004,99068,114072
c_50_m_128,78,13411,170620,184031
c_50_m_128,79,32280,276395,308675
c_50_m_64,80,3146,96674,99820
c_50_m_64,81,3203,499516,502719
c_50_m_64,82,3197,786725,789922
c_50_m_64,83,3174,1070744,1073918
c_50_m_64,84,3154,96189,99343
c_50_m_64,85,3121,356026,359147
c_50_m_64,86,3137,724093,727230
c_50_m_64,87,3119,1007771,1010890
c_50_m_32,88,820,43099,43919
c_50_m_32,89,817,93890,94707
c_50_m_32,90,836,179470,180306
c_50_m_32,91,847,246549,247396
c_50_m_32,92,1180,50860,52040
c_50_m_32,93,1053,111563,112616
c_50_m_32,94,1083,181515,182598
c_50_m_32,95,7811,314185,321996
c_25_m_256,96,64055,177746,241801
c_25_m_256,97,70128,499996,570124
c_25_m_256,98,66031,787197,853228
c_25_m_256,99,70271,1071168,1141439
c_25_m_256,100,69719,1046025,1115744
c_25_m_256,101,69669,356448,426117
c_25_m_256,102,65740,724522,790262
c_25_m_256,103,65701,1008170,1073871
c_25_m_128,104,12526,41652,54178
c_25_m_128,105,16474,112400,128874
c_25_m_128,106,20489,178040,198529
c_25_m_128,107,20460,258393,278853
c_25_m_128,108,14823,56474,71297
c_25_m_128,109,13715,122560,136275
c_25_m_128,110,13823,181165,194988
c_25_m_128,111,24876,320718,345594
c_25_m_64,112,3155,128345,131500
c_25_m_64,113,3172,568755,571927
c_25_m_64,114,7181,851901,859082
c_25_m_64,115,3146,1140236,1143382
c_25_m_64,116,3117,124214,127331
c_25_m_64,117,7151,425043,432194
c_25_m_64,118,7195,789233,796428
c_25_m_64,119,3187,1072954,1076141
c_25_m_32,120,828,53373,54201
c_25_m_32,121,844,91944,92788
c_25_m_32,122,845,197906,198751
c_25_m_32,123,814,263830,264644
c_25_m_32,124,1590,60024,61614
c_25_m_32,125,1052,124058,125110
c_25_m_32,126,1077,194527,195604
c_25_m_32,127,1162,345295,346457
